what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1250719856312
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1250719856312
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1250719856312
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1250719856312
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1250719856312
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1250719856312
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1250719856312
os,sysinfo,,,"win32",1250719856312
arch,sysinfo,,,"x86",1250719856312
ws,sysinfo,,,"win32",1250719856312
locale,sysinfo,,,"en_US",1250719856312
processors,sysinfo,,,"2",1250719856312
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250719856312
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1250719856312
java.specification.name,sysinfo,,,"Java Platform API Specification",1250719856312
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250719856312
java.specification.version,sysinfo,,,"1.6",1250719856312
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250719856312
java.version,sysinfo,,,"1.6.0_14",1250719856312
java.vm.info,sysinfo,,,"mixed mode, sharing",1250719856312
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1250719856312
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1250719856312
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250719856312
java.vm.specification.version,sysinfo,,,"1.0",1250719856312
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1250719856312
